도로종류,가해자차종,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,승용차,12073,269,3602,14916,881
일반국도,승합차,936,17,332,1070,97
일반국도,화물차,3240,133,1073,3966,202
일반국도,특수차,168,2,66,224,3
일반국도,이륜차,1456,73,440,1273,226
일반국도,사륜오토바이(ATV),34,2,12,29,2
일반국도,원동기장치자전거,107,6,33,79,12
일반국도,자전거,240,3,63,139,56
일반국도,개인형이동수단(PM),88,1,19,53,22
일반국도,건설기계,422,16,121,499,24
일반국도,농기계,34,1,17,31,0
일반국도,기타,10,1,5,7,2
일반국도,불명,175,0,20,140,36
지방도,승용차,9052,175,2855,10641,750
지방도,승합차,603,8,253,677,60
지방도,화물차,2279,88,782,2544,146
지방도,특수차,76,2,19,88,4
지방도,이륜차,1192,36,391,901,230
지방도,사륜오토바이(ATV),34,3,17,17,3
지방도,원동기장치자전거,104,4,43,70,13
지방도,자전거,234,6,83,117,49
지방도,개인형이동수단(PM),73,0,20,40,20
지방도,건설기계,215,9,67,226,9
지방도,농기계,49,10,18,31,3
지방도,기타,4,0,0,8,0
지방도,불명,76,0,7,57,18
특별광역시도,승용차,52798,317,12203,59735,3276
특별광역시도,승합차,4033,51,1224,3954,279
특별광역시도,화물차,7988,111,2088,8418,386
특별광역시도,특수차,356,12,84,369,12
특별광역시도,이륜차,8388,98,2469,7196,1365
특별광역시도,사륜오토바이(ATV),23,0,6,21,4
특별광역시도,원동기장치자전거,938,18,284,714,180
특별광역시도,자전거,2600,23,718,1519,588
특별광역시도,개인형이동수단(PM),754,5,189,500,152
특별광역시도,건설기계,798,29,199,893,28
특별광역시도,농기계,12,2,5,6,3
특별광역시도,기타,72,1,26,41,15
특별광역시도,불명,1345,0,170,932,344
시도,승용차,43984,406,11739,50338,2419
시도,승합차,3347,43,1077,3503,242
시도,화물차,7992,160,2438,8489,397
시도,특수차,351,7,116,411,15
시도,이륜차,5709,141,1814,4766,797
시도,사륜오토바이(ATV),56,3,24,33,6
시도,원동기장치자전거,631,7,187,543,99
시도,자전거,1411,27,473,776,268
시도,개인형이동수단(PM),552,8,146,361,92
시도,건설기계,725,14,227,777,32
시도,농기계,100,15,49,57,5
시도,기타,39,3,13,26,2
시도,불명,598,0,74,437,138
군도,승용차,3963,65,1499,4151,239
군도,승합차,252,9,126,241,20
군도,화물차,1542,70,674,1456,80
군도,특수차,26,2,12,17,0
군도,이륜차,561,28,185,377,76
군도,사륜오토바이(ATV),65,9,26,32,6
군도,원동기장치자전거,68,2,22,52,9
군도,자전거,144,6,44,77,27
군도,개인형이동수단(PM),23,1,8,13,4
군도,건설기계,93,2,47,79,4
군도,농기계,84,13,41,44,4
군도,기타,5,1,2,1,1
군도,불명,22,0,4,16,3
고속국도,승용차,2978,74,883,4705,412
고속국도,승합차,173,12,100,334,45
고속국도,화물차,1328,88,489,1910,168
고속국도,특수차,184,14,68,238,9
고속국도,이륜차,3,0,1,4,0
고속국도,건설기계,93,3,32,131,6
고속국도,기타,3,0,0,2,2
고속국도,불명,121,0,19,128,22
기타,승용차,7592,42,1749,8158,535
기타,승합차,579,6,168,651,57
기타,화물차,1712,37,523,1690,133
기타,특수차,67,0,14,75,3
기타,이륜차,1066,21,281,853,201
기타,사륜오토바이(ATV),37,6,4,30,7
기타,원동기장치자전거,126,2,34,87,31
기타,자전거,880,5,284,540,178
기타,개인형이동수단(PM),245,4,55,169,38
기타,건설기계,164,6,56,136,6
기타,농기계,85,21,25,51,4
기타,기타,16,0,6,8,3
기타,불명,256,1,24,169,75
